gene_id	gene_name	chr	start	end	strand	gene_biotype	logFC	logCPM	F	PValue	FDR	Change	JTEN013_Delta_1	JTEN014_Delta_2	JTEN015_Delta_3	JTEN016_Delta_4	JTEN017_Pre_1	JTEN018_Pre_2	JTEN019_Pre_3	JTEN020_Pre_4
FBgn0032835	CG16772	2L	19962679	19963844	+	protein_coding	7.75640285295414	6.19465914782409	9.47431633432654	0.0139046535204999	0.0968919012008405	unchanged	0.892355089010617	1.44622862093495	557.306827219903	1.42111851146261	0.770071174825335	0.341171960788162	0.340226773398111	1.35029694029666
FBgn0039434	TwdlM	3R	26619118	26620224	+	protein_coding	6.55795213772822	4.44986176079535	10.8926825557307	0.00981531112511102	0.0801312162811207	unchanged	165.029919273901	0.626699069071813	7.08795317026656	0.710559255731305	0.651598686390668	0.284309967323469	0.595396853446694	0.245508534599393
FBgn0038487	TwdlW	3R	17141208	17142404	-	protein_coding	6.40914290372025	4.01600965166261	10.3468946363923	0.011184392820944	0.0859227587654745	unchanged	122.587280352834	4.62793158699185	0.572319200083635	0.507542325522361	0.177708732652	0.45489594771755	0.170113386699056	0.736525603798178
FBgn0033158	CG12164	2R	7311395	7313495	+	protein_coding	6.31575079619807	3.71263855248045	11.6285834421375	0.00828239875851552	0.0739073591510946	unchanged	94.5896394351254	4.72434682838751	4.09428350829062	0.152262697656708	0.177708732652	0.0568619934646937	0.0850566933495278	1.04341127204742
FBgn0033307	CG14752	2R	8590497	8591948	+	protein_coding	6.12013860477384	2.7274602680126	11.495035223244	0.00853725745730046	0.0748930548079312	unchanged	46.5697812077416	3.85660965582654	1.40878572328279	0.152262697656708	0.177708732652	0.0568619934646937	0	0.552394202848633
FBgn0033820	CG4716	2R	13256587	13257446	+	protein_coding	5.92493548095838	4.62809998234383	8.90903512432794	0.016113408200194	0.103846472027499	unchanged	0.446177544505308	2.84424962117208	181.909456518891	1.01508465104472	0.710834930608002	0.852929901970406	0.808038586820514	0.797902737448026
FBgn0263216	CG43386	X	9966615	9977405	-	protein_coding	5.86925820252012	4.1550645826959	9.58918393305995	0.0135028442553099	0.0953782587384641	unchanged	135.582201336551	3.0370801039634	1.45281027713538	0.456788092970125	0.888543663260002	0.398033954252856	0.255170080048583	0.920657004747722
FBgn0034052	CG8299	2R	15940610	15941483	-	protein_coding	5.7872217440582	1.76159120553714	27.7296419116227	0.000599619110916995	0.0203513876047955	upregulated	1.56162140576858	2.41038103489159	18.0060425257082	2.58846586016404	0.177708732652	0.113723986929387	0.0425283466747639	0.122754267299696
FBgn0030492	CG15754	X	13528006	13529280	+	protein_coding	5.59063791851889	1.73300389489935	12.4968098895666	0.00683655969148079	0.0671716282695914	unchanged	0.836582895947453	0.867737172560972	21.3078840646523	0.761313488283541	0.0592362442173335	0.341171960788162	0.0425283466747639	0.0613771336498481
FBgn0034328	IM23	2R	18382704	18383235	-	protein_coding	5.57158003928053	3.67485799770495	7.26797336788497	0.0255464977911943	0.130627168814548	unchanged	0.390405351442145	0.915944793258804	93.4201032751903	0.101508465104472	0.710834930608002	0.398033954252856	0.127585040024292	0.920657004747722
